codpostal,coordx,coordy,direccion,fax,idcentrorc,latitud,localidad,longitud,mail,naturaleza,nombre_cen,objectid,refpar,shape,srs,telefono,tipo_centr,web,xcen,ycen
44002,660794,4466854,"Cl. José Torán, 4",0,44010057,40.33675129,Teruel,-1.10700322, ,Privado,El Ensanche,7399, ,0101000020E664000078A52CC3732A2441F085C984290A5141,25830,978 62 03 61,Centro Privado de Educación Infantil, ,660793.88,4466854.07
50630,655839,4626263,"Cl.  Portalada, 22",0,50000163,41.77291379,Alagon,-1.12497244,Iesalagon@educa.aragon.es,Público,Conde  Aranda,7400, ,0101000020E6640000204A7BC3BE032441627FD9A9D5A55141,25830,976 61 60 80,Instituto de Educación Secundaria (IES),http://iesalago.educa.aragon.es,655839.38,4626262.65
50172,691136,4609728,"Cl. La Portaza, 50",976100135,50000291,41.61639436,Alfajarin,-0.70588459,Cpalfajarin@educa.aragon.es,Público,Brianda de Luna,7401, ,0101000020E6640000A8C64B37801725413E0AD71BB0955141,25830,976 10 01 35,Colegio Público,http://cpalfaja.educa.aragon.es,691136.11,4609728.44
50100,635918,4592725,"Avda.  Laviaga Castillo, 14",0,50000370,41.47461818,Almunia De Doña Godina (La),-1.37218055,cpalmunia@educa.aragon.es,Público,C.E.I.P. Nertóbriga,7402, ,0101000020E664000050A60A461B68234108CE195115855141,25830,976 81 21 99,Colegio Público,http://cpalmuni.educa.aragon.es,635917.64,4592725.27
50109,635423,4587105,"P.º  Ramón Y Cajal,  2",0,50000436,41.42410187,Alpartir,-1.37936029,cpalpartir@aragon.es,Público,Ramón Y Cajal,7403, ,0101000020E664000010D044583E642341AE25E45F987F5141,25830,976 81 30 01,Colegio Público, ,635423.17,4587105.50
50200,600896,4576081,"Pza. Del Mesón,  6",976842069,50000618,41.32989786,Ateca,-1.79429123,cpvpateca@educa.aragon.es,Público,Virgen De La Peana,7404, ,0101000020E6640000D06F5F477F562241F8C26442D4745141,25830,976 84 20 69,Colegio Público,www.educa.aragob.es/cpateca/,600895.64,4576081.04
50130,688356,4575539,"Cl. El Ferial, 6",976830316,50000722,41.30933657,Belchite,-0.74989536,colebelia@hotmail.com,Público,Belia,7405, ,0101000020E6640000A835CD1BC8012541B6847CDC4C745141,25830,976 83 03 16,Colegio Público,coledebelchite.blogspot.com,688356.05,4575539.45
50130,688228,4575291,"Cl. San Ramón,  21",0,50000734,41.30712711,Belchite,-0.75149840, ,Privado,San Rafael,7406, ,0101000020E664000038DF4F6DC800254102BC05AA0E745141,25830,976 83 00 59,Centro Privado de Educación Infantil, ,688228.21,4575290.66
50540,621738,4632176,"Cl. Ramón Y Cajal,  2",0,50000850,41.83212333,Borja,-1.53391078,cpcbborja@educaragon.org,Público,Campo De Borja,7407, ,0101000020E664000020C9E53F54F92241F01648109CAB5141,25830,976 86 72 17,Colegio Público,cpcbborja@educargon.org,621738.12,4632176.25
50540,621660,4632307,"Cl.  Amad, 22",0,50000862,41.83330917,Borja,-1.53482354,santanaborja@telefonica.net,Concertado,Santa Ana,7408, ,0101000020E6640000283A922BB8F82241925CFEA7BCAB5141,25830,976 86 71 40,Centro Privado con varias Enseñanzas de Régimen General, ,621660.09,4632306.62
50540,622111,4632361,"Cl. Capuchinos, 1",0,50000874,41.83372513,Borja,-1.52938547,iesborja@educa.aragon.es,Público,Juan De Lanuza,7409, ,0101000020E6640000104FAFB43DFC22410CB5A621CAAB5141,25830,976 86 73 68,Instituto de Educación Secundaria (IES),http://centros5.pntic.mec.es/ies.juan.de.lanuza,622110.85,4632360.53
50246,616921,4597832,"Cl. Cayo Vela, S/N",0,50000904,41.52359616,Brea De Aragon,-1.59862953,cpbrea@educa.aragon.es,Público,Diputación Provincial,7410, ,0101000020E664000008341176B2D322418A1F63F6118A5141,25830,976 82 43 33,Colegio Público,http://cpbrea.educa.aragon.es/index.html,616921.23,4597831.85
50300,613329,4576425,"Ctra. De Valencia,  S/N",0,50001064,41.33133931,Calatayud,-1.64568580,cpbgcalatayud@educa.aragon.es,Público,Baltasar Gracián,7411, ,0101000020E664000070567DEEA1B7224142F163242A755141,25830,976 88 16 52,Colegio Público,http://cpbgcala.educa.aragon.es,613328.97,4576424.57
50300,613949,4578388,"Cl. Santander-Mediterráneo, S/N",0,50001076,41.34893556,Calatayud,-1.63790602,cpfgcalatayud@educa.aragon.es,Público,Francisco De Goya,7412, ,0101000020E6640000B0B6629F7ABC2241CC7F481315775141,25830,976 88 26 96,Colegio Público,http://cpfgcala.educa.aragon.es,613949.31,4578388.30
44002,661780,4466020,"Cl. Los Tilos, 3",978600243,44004306,40.32904721,Teruel,-1.09560713,cplfteruel@educa.aragon.es,Público,La Fuenfresca,7413, ,0101000020E6640000D04D62B0283224412C8716E958095141,25830,978 60 03 01,Colegio Público,http//cplfteru.educa.aragon.es,661780.34,4466019.64
44002,660839,4466352,"Juez Villanueva, 1",0,44004318,40.33222124,Teruel,-1.10659747,eoiteruel@educa.aragon.es,Público,Escuela Oficial De Idiomas,7414, ,0101000020E6640000506B9A37CE2A244128A089FCAB095141,25830,978 62 05 57,Escuela Oficial de Idiomas (EOI),http://www.eoiteruel.com/,660839.11,4466351.95
44420,685176,4436571,"Cl. Ingeniero Piqueras, 1",0,44004483,40.05906025,Manzanera,-0.82885541,cramanzanera@educa.aragon.es,Público,C.R.A. Javalambre,7415, ,0101000020E6640000B8D1005EF0E824415A423EBC96EC5041,25830,978 78 18 13,Colegio Público,http://crajaval.educa.aragon.es/,685176.18,4436570.94
50018,676816,4617198,"CL. RAFAEL ESTEVE VILELLA, S/N",0,50018431,41.68693194,Zaragoza,-0.87542948, ,Privado,CUÉNTAME,7416, ,0101000020E6640000606DC5DEA0A72441CE195196FB9C5141,25830, ,Centro Privado de Educación Infantil, ,676816.44,4617198.35
44760,681105,4520452,"Cl. Miguel Servet, 3",0,44004550,40.81511193,Utrillas,-0.85265536,iesutrillas@educa.aragon.es,Público,Fernando Lázaro Carreter,7417, ,0101000020E6640000D0915CDE21C9244196900FF6803E5141,25830,978 75 80 50,Instituto de Educación Secundaria (IES),http://iesutril.educa.aragon.es,681104.93,4520451.84
44500,713763,4539378,"Avda. Escatrón, 1",0,44004562,40.97758754,Andorra,-0.45925709,cpmfrandorra@educa.aragon.es,Público,Manuel Franco Royo,7418, ,0101000020E66400006819E25845C82541EEEBC08DFC505141,25830,978 84 35 15,Colegio Público,http://cpmfrand.educa.aragon.es,713762.67,4539378.21
44500,714960,4539207,"Cl. Escuelas, 10",0,44004604,40.97573424,Andorra,-0.44510031, ,Público,Universidad Popular De Andorra,7419, ,0101000020E6640000B8D100BE9FD12541DE9387CDD1505141,25830,978 84 34 62,Escuela Pública de Música y/o Danza, ,714959.87,4539207.21
44410,716766,4470987,"Cl. El Vall, 16",0,44004616,40.36129592,Mosqueruela,-0.44718997,cramosqueruela@educa.aragon.es,Público,C.R.A. Maestrazgo Gudar,7420, ,0101000020E6640000686FF005BCDF2541C264AACC320E5141,25830,978 80 52 18,Colegio Público,www.educa.aragon.es/cralinar/,716766.01,4470987.20
44350,641179,4522161,"Pza. Escuelas, 3",0,44004689,40.83834192,Caminreal,-1.32545096,cracaminreal@educa.aragon.es,Público,C.R.A. Goya,7421, ,0101000020E6640000885AD33C35912341DE718A422C405141,25830,978 86 20 15,Colegio Público,http://cragoya.educa.aragon.es,641178.62,4522161.04
44140,719846,4489153,"Avda.  Maestrazgo, 3",0,44004690,40.52397534,Cantavieja,-0.40467027,cracantavieja@educa.aragon.es,Público,C.R.A. Alto Maestrazgo,7422, ,0101000020E6640000D0DEE0ABCBF7254110583920F01F5141,25830,964 18 51 29,Colegio Público,http://cracanta.educa.aragon.es,719845.84,4489152.50
44147,682275,4478398,"Cl. Basilio Muñoz, 20-29",0,44004719,40.43626856,Cedrillas,-0.85096370,cracedrillas@educa.Aragon.Es,Público,C.R.A Palmira Plá,7423, ,0101000020E6640000F0A7C66B46D22441341136946F155141,25830,978 77 41 62,Colegio Público,http://adigital.pntic.mec.es/cra.cedrillas/,682275.21,4478398.32
44547,702180,4544984,"Cl. Teruel, 10",978817133,44004720,41.03098889,Ariño,-0.59497469,craarino@educa.aragon.es,Público,C.R.A. Ariño-Alloza,7424, ,0101000020E6640000288716B9C76D254140A4DFE675565141,25830,978 81 71 33,Colegio Público,www.educa.aragon.es/craarino/weduca/,702179.86,4544983.61
44596,759011,4535016,"Cl Virgen De Gracia, 10",0,44004744,40.92524469,Fresneda (La),0.07605932,crafresneda@educa.aragon.es,Público,Cra. De La Fresneda,7425, ,0101000020E6640000A8CFD576C6292741A8E848E2B94C5141,25830,978 85 45 53,Colegio Público,http://e-ducativa.catedu.es/44004744/sitio/,759011.23,4535015.54
44750,677668,4523747,"Cl. Baja, 37",0,44004768,40.84552703,Martin Del Rio,-0.89243809,cramartinrio@educa.aragon.es,Público,C.R.A. De Martín Del Río,7426, ,0101000020E664000048D8F07448AE244112143FBEB8415141,25830,978 75 00 22,Colegio Público,WWW.EDUCA.ARAGOB.ES/cramarti,677668.23,4523746.97
44100,633048,4474395,"Cami. De Gea, S/N",978710052,44004793,40.40954571,Albarracin,-1.43195076,craalbarracin@educa.aragon.es,Público,C.R.A. De Albarracín,7427, ,0101000020E664000098559FABAF51234124287EB086115141,25830,978 71 00 52,Colegio Público,http://adigital.pntic.mec.es/~albarracin/,633047.84,4474394.76
44511,714351,4566228,"Avda. De La Estación, 2",0,44004801,41.21906141,Puebla De Hijar (La),-0.44291526,crapueblah@educa.aragon.es,Público,C.R.A. Bajo Martín,7428, ,0101000020E664000000D57849DDCC2541DC460318356B5141,25830,978 82 63 16,Colegio Público,http://www.catedu.es/e-ducativa/44004801,714350.64,4566228.38
44370,645302,4479445,"Cl. Sánchez Motos, 64",0,44004951,40.45297134,Cella,-1.28643576,cpeacella@educa.aragon.es,Público,C.P.E.P.A. De Cella,7429, ,0101000020E664000028A089706BB1234186EB512475165141,25830,978 65 02 56,Centro Público de Educación de Personas Adultas (Presenc,http://epacella.educa.aragon.es,645301.72,4479444.57
44300,638980,4516854,"Cl. Gonzalo De Liria, 4",0,44004963,40.79092592,Monreal Del Campo,-1.35270145, ,Público,Aula De Monreal Del Campo,7430, ,0101000020E6640000808CB90B0880234152499D6CFD3A5141,25830,978 86 45 15,Centro Público de Educación de Personas Adultas (Presenc, ,638980.02,4516853.70
44610,767968,4545228,"Avda. De Aragón,  2-4",0,44005062,41.01421723,Calaceite,0.18669866,cracalaceit@educa.aragon.es,Público,C.R.A. Matarranya,7431, ,0101000020E6640000B0E1E915C06F2741B437F816B3565141,25830,978 85 13 39,Colegio Público,http://www.educa.aragob.es/cramatar/index.html,767968.04,4545228.36
44360,642455,4491969,"Cl. España, 10",0,44005074,40.56624484,Santa Eulalia,-1.31717539,crastaeulalia@educa.aragon.es,Público,C.R.A. Cuna del Jiloca,7432, ,0101000020E664000018C05B202E9B2341C64B3729B0225141,25830,978 86 07 79,Colegio Público,http://crastaeu/educa.aragon.es,642455.06,4491968.64
50290,641846,4607606,"Cami. De La Estación, 13",0,50002019,41.60757286,Epila,-1.29769562,Montarron@Unefa.Org,Privado,E.F.A. Montarrón,7433, ,0101000020E66400003811365C6C9623415474249B9D935141,25830,976 60 30 79,Centro Privado de Formación Profesional Específica, ,641846.18,4607606.42
50007,676541,4611533,"Cl. Mornés, 14",0,50007017,41.63600258,Zaragoza,-0.88040467,mazaragoza@salesianas.net,Concertado,María  Auxiliadora,7434, ,0101000020E664000070C5FEF27AA5244156302A5973975141,25830,976 27 27 50,Centro Privado con varias Enseñanzas de Régimen General,http://www.mazaragoza.salesianas.net,676541.47,4611533.39
50006,676065,4611417,"Cl. Maestro Estremiana, 3 Y 5",0,50007042,41.63505834,Zaragoza,-0.88615968,lamilagrosaz@lamilagrosaz.e.telefonica.net,Concertado,La Milagrosa,7435, ,0101000020E6640000D89AE65DC1A124419418043256975141,25830,976 27 96 06,Centro Privado con varias Enseñanzas de Régimen General, ,676064.68,4611416.78
50009,674524,4610473,"P.º Reyes De Aragón, 21",0,50007066,41.62689807,Zaragoza,-0.90492185,Montearagon@Fomento.Edu,Privado,Montearagón,7436, ,0101000020E6640000E0141DC9B79524410CB5A6256A965141,25830,976 56 22 67,Centro Privado con varias Enseñanzas de Régimen General, ,674523.89,4610472.59
50300,613840,4578566,"Cl. Madre Rafols, 2",0,50001121,41.35055086,Calatayud,-1.63917703,secretaria@santaanacalatayud.com,Concertado,Santa Ana,7437, ,0101000020E664000010583954A0BB224176E09C7D41775141,25830,976 88 20 22,Centro Privado con varias Enseñanzas de Régimen General,http://www.santanacalatayud.com/,613840.16,4578565.96
50100,635471,4593217,"Cl. María Auxiliadora, 12",0,50000412,41.47912323,Almunia De Doña Godina (La),-1.37741807,secretaria.laalmunia@salesianos.edu,Concertado,Salesianos Laviaga-Castillo,7438, ,0101000020E6640000C07D1DD89D6423412675024E90855141,25830,976 81 24 20,Centro Privado de Educación Secundaria, ,635470.92,4593217.22
50300,613840,4579054,"P.º San Nicolás De Francia, 10",0,50001167,41.35494898,Calatayud,-1.63908510,ieslchcalatayud@educa.aragon.es,Público,IES Leonardo de Chabacier,7439, ,0101000020E6640000F8DBD761A0BB2241F2B05097BB775141,25830,976 88 10 15,Instituto de Educación Secundaria (IES),http://iesprcal.educa.aragon.es,613840.19,4579054.36
50400,648320,4577907,"Cl. Saint Pierre D' Olèron, S/N",0,50001301,41.33900609,Cariñena,-1.22734022,Cpcarinena@Educa.Aragon.Es,Público,Santo Cristo De Santiago,7440, ,0101000020E6640000989999F9FFC82341CAE53FB49C765141,25830,976 62 08 96,Colegio Público,http://cpcarine.educa.aragon.es,648319.99,4577906.82
50700,748286,4569131,"Pza. Compromiso, 12",0,50001350,41.23547782,Caspe,-0.03739419,cpcccaspe@educa.aragon.es,Público,Compromiso De Caspe,7441, ,0101000020E664000050AF9405FBD52641FC87F4C30A6E5141,25830,976 63 05 69,Colegio Público,http://cpccaspe.educa.aragon.es,748285.51,4569131.06
50700,747888,4569408,"Cl. Coso, 18",0,50001362,41.23808785,Caspe,-0.04201473,santaanacaspe@planalfa.es,Concertado,Santa Ana,7442, ,0101000020E664000098900FBAE0D2264142AD69EA4F6E5141,25830,976 63 03 96,Centro Privado con varias Enseñanzas de Régimen General, ,747888.36,4569407.66
50360,633474,4552675,"Cl. Mayor, 2",0,50001738,41.11440391,Daroca,-1.41022013,ehdaroca@educa.aragon.es,Público,Puerta De Zaragoza,7443, ,0101000020E664000058CA32A403552341E2E995BAF85D5141,25830,976 80 02 33,Residencia,http://ehdaroca.educa.aragon.es,633473.82,4552674.92
50600,653975,4665375,"Cl. Cervantes, 9",0,50001763,42.12536927,Ejea De Los Caballeros,-1.13716848,cpasejea@educa.aragon.es,Público,Cervantes,7444, ,0101000020E6640000A84E40B32DF523414E840DCF07CC5141,25830,976 66 15 11,Colegio Público,http://cpceejea.educa.aragon.es/index.html,653974.85,4665375.24
50600,653483,4664354,"Ctra. De Gallur A Sangüesa, S/N",0,50001829,42.11627434,Ejea De Los Caballeros,-1.14338275,boalares@efasdearagon.org,Concertado,E.F.A. Boalares,7445, ,0101000020E6640000F041CF4656F123410022FD8A08CB5141,25830,976 66 14 56,Centro Privado de Formación Profesional Específica,www.efasdearagon.org,653483.14,4664354.17
50600,654861,4665746,"Ctra. De Erla, S/N",0,50001830,42.12853310,Ejea De Los Caballeros,-1.12635041,iesrcejea@educaragon.es,Público,Reyes Católicos,7446, ,0101000020E6640000083411B61AFC2341BE30998664CC5141,25830,976 66 06 45,Instituto de Educación Secundaria (IES),http://iesrceje.educa.aragon.es,654861.36,4665746.10
50290,643623,4606465,"Cl. Ronda Diputación, S/N",0,50002007,41.59697782,Epila,-1.27666041,cpepila@educa.aragon.es,Público,Gaspar Remiro,7447, ,0101000020E6640000480C020B4DA42341E4141D3980925141,25830,976 60 39 90,Colegio Público,http://cpepila.educa.aragon.es/,643622.52,4606464.89
44003,660236,4468520,"Cl. Ciudad Escolar , S/N",0,44003259,40.35185916,Teruel,-1.11315303,ceealteruel@educa.aragon.es,Público,La Arboleda,7448, ,0101000020E664000060CC5D6B17262441B6A679FFC90B5141,25830,978 60 28 20,Colegio Público de Educación Especial, ,660235.71,4468519.99
44003,660038,4468671,"Cl. Leocadio Brun, 3",0,44003260,40.35325972,Teruel,-1.11544035,ehteruel@educa.aragon.es,Público,Escuela Hogar de Teruel,7449, ,0101000020E664000058423E488C242441065F98D4EF0B5141,25830,978 60 32 33,Residencia,http://ehteruel.educa.aragon.es,660038.14,4468671.32
44001,660712,4467572,"Pza. De La Catedral, 8",0,44003284,40.34323218,Teruel,-1.10778114,earteruel@educa.aragon.es,Público,Escuela De Arte De Teruel,7450, ,0101000020E6640000807346D4D029244160984C05DD0A5141,25830,978 60 26 35,Escuela de Arte,http://eateruel.educa.aragon.es,660712.41,4467572.08
44760,681787,4520228,"Cl. Pablo Gargallo, S/N",0,44003636,40.81295007,Utrillas,-0.84463396,cpvutrillas@educa.aragon.es,Público,Villa de Utrillas,7451, ,0101000020E6640000589FABCD76CE2441FE65F71C493E5141,25830,978 75 72 26,Colegio Público,http://cpimutri.educa.aragon.es,681787.40,4520228.45
44580,765806,4529463,"Avda. Madrid, 2",0,44003715,40.87312085,Valderrobres,0.15426740,cpvfvalderrobres@educa.arago.es,Público,Vicente Ferrer Ramos,7452, ,0101000020E6640000A045B693DC5E274186EB51BC4D475141,25830,978 85 06 55,Colegio Público,http://www.educa.arago.es/cpvalder,765806.29,4529462.94
44580,765794,4529687,"Cl. La Paz, 7",0,44003727,40.87514420,Valderrobres,0.15421190, ,Privado,María Inmaculada,7453, ,0101000020E664000058C1A804C35E2741460378DB85475141,25830,978 33 17 64,Centro Privado de Educación Infantil, ,765793.51,4529687.43
44200,643528,4531465,"Avda. Zaragoza, 42",0,44004045,40.92171221,Calamocha,-1.29544652,iescalamocha@educa.aragon.es,Público,Valle Del Jiloca,7454, ,0101000020E664000010E02D3090A323413A014D4842495141,25830,978 73 01 37,Instituto de Educación Secundaria (IES),http://iescalam.educa.aragon.es,643528.09,4531465.13
44140,719871,4489043,"Avda. Maestrazgo, 5",0,44004082,40.52298054,Cantavieja,-0.40440886,decant1@centros6.pntic.mec.es,Público,E.H. En C.R.I.E.T.,7455, ,0101000020E6640000F80FE977FEF725415817B7ADD41F5141,25830,964 18 50 27,Residencia,http://ehcanta.educa.aragon.es,719871.23,4489042.71
44003,660533,4468348,"Pza. Santa Teresa, 8",0,44004124,40.35025163,Teruel,-1.10970285,cpeateruel@educa.aragon.es,Público,Isabel De Segura,7456, ,0101000020E664000050F38E136928244112F241F39E0B5141,25830,978 60 78 81,Centro Público de Educación de Personas Adultas (Presenc,http://cpeateru.educa.aragon.es,660532.54,4468347.80
44500,714654,4539068,"Cl.  San  Isidro Labrador, 2",0,44004148,40.97455878,Andorra,-0.44878296,ceeandorra@educa.aragon.es,Público,Gloria Fuertes,7457, ,0101000020E6640000782D219F3BCF2541F46C56E9AE505141,25830,978 84 26 52,Colegio Público de Educación Especial,http://www.colegiogloriafuertes.es/,714653.81,4539067.65
44001,660641,4467652,"Cl. Temprado, 11",0,44004173,40.34396658,Teruel,-1.10860323,cpmteruel@educa.aragon.es,Público,Conservatorio Profesional de Música de Teruel,7458, ,0101000020E664000028A089B041292441ECC03907F10A5141,25830,978 60 57 14,Conservatorio de Música o Danza, ,660640.84,4467652.11
44530,713730,4560957,"Cl. Bajada De San Antonio, S/N",0,44004239,41.17178702,Hijar,-0.45214864,ieshijar@educa.aragon.es,Público,Pedro Laín Entralgo,7459, ,0101000020E6640000B89690CF04C82541F6B9DA360F665141,25830,978 82 08 76,Instituto de Educación Secundaria (IES),http://ieshijar.educa.aragon.es,713730.41,4560956.86
50006,675031,4610882," Cl. Rincón De Goya, S/N",0,50011537,41.63046877,Zaragoza,-0.89871526,ceergzaragoza@educa.aragon.es,Público,Rincón De Goya,7460, ,0101000020E664000038CD3B8EAE99244138894168D0965141,25830,976 25 55 45,Colegio Público de Educación Especial,http://ceergzar.educa.aragon.es,675031.28,4610881.63
50015,676292,4614407,"Cl. Manuel Marraco Ramón, 2",0,50011574,41.66192243,Zaragoza,-0.88254612,ifps@svalero.es,Privado,Cpa-Salduie,7461, ,0101000020E6640000801D38C788A32441C420B0BA419A5141,25830,976 52 27 41,Centro Privado de Formación Profesional Específica,http://www.cpasalduie.com,676292.39,4614406.92
50017,674219,4613263,"Cl. Barcelona, 17",0,50011653,41.65207996,Zaragoza,-0.90777299,Academiarubistein@Lotmail.Com,Privado,Rubinsteín,7462, ,0101000020E664000060DC4603559324419A081BB223995141,25830,976 33 23 46,Centro Privado de Música o Danza, ,674218.51,4613262.78
50015,677365,4617191,"Avda. Academia General Militar, 80",0,50006669,41.68674459,Zaragoza,-0.86883947,cristorey@escolapiosaragon.org,Concertado,Cristo Rey,7463, ,0101000020E6640000C0F528DCEAAB2441666666C6F99C5141,25830,976 51 44 22,Centro Privado con varias Enseñanzas de Régimen General,www.cristorey.escolapios.es,677420.16,4617172.16
50012,674332,4609461,"Cami. Fuente De La Junquera, 21",0,50006724,41.61783106,Zaragoza,-0.90752181, ,Privado,Liceo Europa,7464, ,0101000020E6640000E86A2B7637942441D26F5F276D955141,25830,976 56 50.00,Centro Privado con varias Enseñanzas de Régimen General, ,674331.73,4609460.62
50018,676294,4614429,"Cl. Manuel Marraco Ramón, 8",0,50006736,41.66212399,Zaragoza,-0.88252161,Moliere-Zaragoza@Teleline.Es,Privado,College Moliere,7465, ,0101000020E6640000F0D24DC28BA3244132553056479A5141,25830,976 52 54 44,Centro Docente Privado Extranjero en España, ,676293.88,4614429.35
50007,675562,4610434,"Cami. Cuarte, 105",0,50006955,41.62631924,Zaragoza,-0.89247515,Lestonnaccm@Planalfa.Es,Privado,Lestonnac,7466, ,0101000020E6640000105839B4D49D24416A6FF06560965141,25830,976 27 31 78,Centro Privado con varias Enseñanzas de Régimen General, ,675562.35,4610433.59
50020,677448,4618591,"Ctra. De Huesca, S/N",0,50008915,41.69932568,Zaragoza,-0.86743598,aspacezaragoza@terra.es,Privado,San Germán,7467, ,0101000020E6640000386744498FAC244158A835B9579E5141,25830,976 51 65 22,Centro Privado de Educación  Especial, ,677447.64,4618590.89
50012,674332,4609461,"Cami. Fuente De La Junquera, S/N",0,50009026,41.61783106,Zaragoza,-0.90752181, ,Privado,Liceo Europa,7468, ,0101000020E6640000E86A2B7637942441D26F5F276D955141,25830,976 56 50 00,Centro Privado de Educación Secundaria, ,674331.73,4609460.62
50011,669205,4614268,"Ctra. Nacional, 125. Km.7",0,50009361,41.66220656,Zaragoza,-0.96765577,Colegio@Juandelanuza.Org,Privado,Juan De Lanuza,7469, ,0101000020E6640000C042ADA92A6C2441684469F31E9A5141,25830,976 30 03 36,Centro Privado con varias Enseñanzas de Régimen General, ,669205.33,4614267.80
50017,673459,4613846,"Avda.de Navarra,nº 141",0,50009373,41.65749898,Zaragoza,-0.91672473,cpjcazaragoza@educa.aragon.es,Público,José Camón Aznar,7470, ,0101000020E664000098E61D07658D24419C11A599B5995141,25830,976 32 91 02,Colegio Público,http://cpjcazar.educa.aragon.es,673458.51,4613846.40
50002,677288,4613510,C/ Coso n? 214,0,50009397,41.65362576,Zaragoza,-0.87085635,cptenzaragoza@educa.aragon.es,Público,Tenerías,7471, ,0101000020E6640000F8C264EA50AB24418048BF6D61995141,25830,976 29 29 50,Colegio Público,www.cbtenerias.es,677288.46,4613509.71
50014,679512,4615250,"Cl. Río Perejiles, 2",976572838,50009415,41.66879617,Zaragoza,-0.84365184,cpgarzaragoza@educa.aragon.es,Público,Gloria Arenillas,7472, ,0101000020E664000078C7295AAFBC2441D0D5569C149B5141,25830,976 57 28 38,Colegio Público,www.educa.aragob.es/cpgarzar/,679511.68,4615250.44
50008,676787,4612161,Parque Miraflores Nº 1,0,50009580,41.64159348,Zaragoza,-0.87727667,cpmirzaragoza@educa.aragon.es,Público,Miraflores,7473, ,0101000020E6640000C898BB7665A724411648502410985141,25830,976 49 31 05,Colegio Público,www.ceipmiraflores.com,676786.73,4612160.57
